Entry_ID,Point_Role,Point_Mappable,Feature_ID,Map_Name,Latitude,Longitude,Label,Description,River_or_watercourse,Hydro_site_or_reference,Capacity_or_potential,Current_status,Dam_or_site_lat,Dam_or_site_lon,Dam_point_used,Dam_point_confidence,Mouth_or_coast_lat,Mouth_or_coast_lon,Mouth_or_coast_point_used,Mouth_point_type,Mouth_confidence,Mapping_note,Source_URLs_or_notes
CHU-06,Dam_or_site,Yes,CHU-06-SITE,Historical lower-river potential,52.9725,-61.4375,Churchill River / Lower Churchill — Historical lower-river potential — site,"Potential/actual hydro site point. Gull Island Rapids as representative remaining Lower Churchill point. Status: Partially harnessed. Capacity/potential: 2,400 MW historical potential. Note: Lower Churchill potential is not one dam; Muskrat Falls is operating and Gull Island remains the principal planned point.",Churchill River / Lower Churchill,Historical lower-river potential,"2,400 MW historical potential",Partially harnessed,52.9725,-61.4375,Gull Island Rapids as representative remaining Lower Churchill point,Representative site proxy,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,Lower Churchill potential is not one dam; Muskrat Falls is operating and Gull Island remains the principal planned point.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://www.gov.nl.ca/publicat/royalcomm/research/Churchill.pdf
CHU-06,Mouth_or_coast,Yes,CHU-06-MOUTH,Churchill River / Lower Churchill mouth/coast,53.360278,-60.170833,Churchill River / Lower Churchill — mouth/coast,River mouth/coast/outlet point. Churchill River mouth / Hamilton Inlet-Lake Melville outlet area. Type: River mouth / coast-system outlet. Note: Lower Churchill potential is not one dam; Muskrat Falls is operating and Gull Island remains the principal planned point.,Churchill River / Lower Churchill,Historical lower-river potential,"2,400 MW historical potential",Partially harnessed,52.9725,-61.4375,Gull Island Rapids as representative remaining Lower Churchill point,Representative site proxy,53.360278,-60.170833,Churchill River mouth / Hamilton Inlet-Lake Melville outlet area,River mouth / coast-system outlet,Approximate / prior CGNDB-style point,Lower Churchill potential is not one dam; Muskrat Falls is operating and Gull Island remains the principal planned point.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://www.gov.nl.ca/publicat/royalcomm/research/Churchill.pdf
UNK-01,Dam_or_site,Yes,UNK-01-SITE,Twin Falls,53.5,-64.535278,Unknown River — Twin Falls — site,"Potential/actual hydro site point. Unknown (Atikonak) River at Twin Falls, WSC 03OD002. Status: Former / retired. Capacity/potential: 225 MW installed historically. Note: Former hydro station; downstream outlet is inland/Churchill system, not ocean coast.",Unknown River,Twin Falls,225 MW installed historically,Former / retired,53.5,-64.535278,"Unknown (Atikonak) River at Twin Falls, WSC 03OD002",Exact/named site,53.521789,-64.172975,Unknown River mouth / confluence toward Churchill system,River mouth to receiving water,Official feature/proxy,"Former hydro station; downstream outlet is inland/Churchill system, not ocean coast.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
UNK-01,Mouth_or_coast,Yes,UNK-01-MOUTH,Unknown River mouth/coast,53.521789,-64.172975,Unknown River — mouth/coast,"River mouth/coast/outlet point. Unknown River mouth / confluence toward Churchill system. Type: River mouth to receiving water. Note: Former hydro station; downstream outlet is inland/Churchill system, not ocean coast.",Unknown River,Twin Falls,225 MW installed historically,Former / retired,53.5,-64.535278,"Unknown (Atikonak) River at Twin Falls, WSC 03OD002",Exact/named site,53.521789,-64.172975,Unknown River mouth / confluence toward Churchill system,River mouth to receiving water,Official feature/proxy,"Former hydro station; downstream outlet is inland/Churchill system, not ocean coast.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
ASH-01,Dam_or_site,Yes,ASH-01-SITE,Menihek,54.455,-66.625,Ashuanipi River / Menihek Lake system — Menihek — site,"Potential/actual hydro site point. Menihek Lake at Menihek Rapids Generating Station / Ashuanipi River at Menihek Rapids, WSC 03OA002/03OA001. Status: Operating / harnessed. Capacity/potential: 18 MW installed. Note: Menihek is a station/site on the Ashuanipi/Menihek system, not a river name by itself.",Ashuanipi River / Menihek Lake system,Menihek,18 MW installed,Operating / harnessed,54.455,-66.625,"Menihek Lake at Menihek Rapids Generating Station / Ashuanipi River at Menihek Rapids, WSC 03OA002/03OA001",Exact/named site,53.9675,-65.406389,Ashuanipi River outlet/confluence point,River mouth to receiving water,Official feature/proxy,"Menihek is a station/site on the Ashuanipi/Menihek system, not a river name by itself.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
ASH-01,Mouth_or_coast,Yes,ASH-01-MOUTH,Ashuanipi River / Menihek Lake system mouth/coast,53.9675,-65.406389,Ashuanipi River / Menihek Lake system — mouth/coast,"River mouth/coast/outlet point. Ashuanipi River outlet/confluence point. Type: River mouth to receiving water. Note: Menihek is a station/site on the Ashuanipi/Menihek system, not a river name by itself.",Ashuanipi River / Menihek Lake system,Menihek,18 MW installed,Operating / harnessed,54.455,-66.625,"Menihek Lake at Menihek Rapids Generating Station / Ashuanipi River at Menihek Rapids, WSC 03OA002/03OA001",Exact/named site,53.9675,-65.406389,Ashuanipi River outlet/confluence point,River mouth to receiving water,Official feature/proxy,"Menihek is a station/site on the Ashuanipi/Menihek system, not a river name by itself.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010
NAS-01,Dam_or_site,Yes,NAS-01-SITE,Historical / preliminary potential,54.131667,-61.426667,Naskaupi River — Historical / preliminary potential — site,"Potential/actual hydro site point. Naskaupi River below Naskaupi Lake, WSC 03PB002. Status: Partly altered / not separately harnessed. Capacity/potential: 1,933 MW historical; 290 MW preliminary. Note: No exact public dam-site coordinate found; WSC gauge used as a public map proxy.",Naskaupi River,Historical / preliminary potential,"1,933 MW historical; 290 MW preliminary",Partly altered / not separately harnessed,54.131667,-61.426667,"Naskaupi River below Naskaupi Lake, WSC 03PB002",Gauge/site proxy,53.777745,-60.843136,Naskaupi River mouth at northern tip of Grand Lake / Lake Melville system,River mouth to inland water,Official/approximate feature point,No exact public dam-site coordinate found; WSC gauge used as a public map proxy.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
NAS-01,Mouth_or_coast,Yes,NAS-01-MOUTH,Naskaupi River mouth/coast,53.777745,-60.843136,Naskaupi River — mouth/coast,River mouth/coast/outlet point. Naskaupi River mouth at northern tip of Grand Lake / Lake Melville system. Type: River mouth to inland water. Note: No exact public dam-site coordinate found; WSC gauge used as a public map proxy.,Naskaupi River,Historical / preliminary potential,"1,933 MW historical; 290 MW preliminary",Partly altered / not separately harnessed,54.131667,-61.426667,"Naskaupi River below Naskaupi Lake, WSC 03PB002",Gauge/site proxy,53.777745,-60.843136,Naskaupi River mouth at northern tip of Grand Lake / Lake Melville system,River mouth to inland water,Official/approximate feature point,No exact public dam-site coordinate found; WSC gauge used as a public map proxy.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
EAG-01,Dam_or_site,Yes,EAG-01-SITE,Historical / preliminary potential,53.534167,-57.493611,Eagle River — Historical / preliminary potential — site,"Potential/actual hydro site point. Eagle River above Falls, WSC 03QC001. Status: Unexploited / identified. Capacity/potential: 983 MW historical; 661 MW preliminary. Note: Dam point uses the public WSC station above falls.",Eagle River,Historical / preliminary potential,983 MW historical; 661 MW preliminary,Unexploited / identified,53.534167,-57.493611,"Eagle River above Falls, WSC 03QC001",Gauge/site proxy at named falls,53.571146,-57.452914,Eagle River coast/mouth point,River mouth / coast,Official/approximate feature point,Dam point uses the public WSC station above falls.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
EAG-01,Mouth_or_coast,Yes,EAG-01-MOUTH,Eagle River mouth/coast,53.571146,-57.452914,Eagle River — mouth/coast,River mouth/coast/outlet point. Eagle River coast/mouth point. Type: River mouth / coast. Note: Dam point uses the public WSC station above falls.,Eagle River,Historical / preliminary potential,983 MW historical; 661 MW preliminary,Unexploited / identified,53.534167,-57.493611,"Eagle River above Falls, WSC 03QC001",Gauge/site proxy at named falls,53.571146,-57.452914,Eagle River coast/mouth point,River mouth / coast,Official/approximate feature point,Dam point uses the public WSC station above falls.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
KAI-01,Dam_or_site,Yes,KAI-01-SITE,Historical / preliminary potential,54.623611,-60.977222,Caiairiktok / Kanairiktok River — Historical / preliminary potential — site,"Potential/actual hydro site point. Kanairiktok River below Snegamook Lake, WSC 03NG001. Status: Unexploited / identified. Capacity/potential: 817 MW historical; 153 MW preliminary. Note: Historical spelling Caiairiktok; do not merge with Kanairuktok without toponymy review.",Caiairiktok / Kanairiktok River,Historical / preliminary potential,817 MW historical; 153 MW preliminary,Unexploited / identified,54.623611,-60.977222,"Kanairiktok River below Snegamook Lake, WSC 03NG001",Gauge/site proxy,55.020859,-60.295061,Kanairiktok River official feature / mouth near Kanairiktok Bay,River mouth / coast,Official NRCan feature point,Historical spelling Caiairiktok; do not merge with Kanairuktok without toponymy review.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://geonames.nrcan.gc.ca/search-place-names/unique?id=AALHQ; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
KAI-01,Mouth_or_coast,Yes,KAI-01-MOUTH,Caiairiktok / Kanairiktok River mouth/coast,55.020859,-60.295061,Caiairiktok / Kanairiktok River — mouth/coast,River mouth/coast/outlet point. Kanairiktok River official feature / mouth near Kanairiktok Bay. Type: River mouth / coast. Note: Historical spelling Caiairiktok; do not merge with Kanairuktok without toponymy review.,Caiairiktok / Kanairiktok River,Historical / preliminary potential,817 MW historical; 153 MW preliminary,Unexploited / identified,54.623611,-60.977222,"Kanairiktok River below Snegamook Lake, WSC 03NG001",Gauge/site proxy,55.020859,-60.295061,Kanairiktok River official feature / mouth near Kanairiktok Bay,River mouth / coast,Official NRCan feature point,Historical spelling Caiairiktok; do not merge with Kanairuktok without toponymy review.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://wateroffice.ec.gc.ca/station_metadata/reference_index_e.html?stnNum=02YK010; https://geonames.nrcan.gc.ca/search-place-names/unique?id=AALHQ; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
KAK-01,Dam_or_site,No,KAK-01-SITE,Preliminary site,,,Kanairuktok River — Preliminary site — site,Potential/actual hydro site point. Not located in public coordinate sources used. Status: Unexploited / preliminary. Capacity/potential: 394 MW preliminary. Note: The 2002 list treats Kanairuktok separately from Kanairiktok; I did not assign coordinates because I could not verify a distinct public river feature.,Kanairuktok River,Preliminary site,394 MW preliminary,Unexploited / preliminary,,,Not located in public coordinate sources used,Not located,,,Not located separately from Kanairiktok,Unknown,Not located,The 2002 list treats Kanairuktok separately from Kanairiktok; I did not assign coordinates because I could not verify a distinct public river feature.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://www.gov.nl.ca/publicat/royalcomm/research/Churchill.pdf
KAK-01,Mouth_or_coast,No,KAK-01-MOUTH,Kanairuktok River mouth/coast,,,Kanairuktok River — mouth/coast,River mouth/coast/outlet point. Not located separately from Kanairiktok. Type: Unknown. Note: The 2002 list treats Kanairuktok separately from Kanairiktok; I did not assign coordinates because I could not verify a distinct public river feature.,Kanairuktok River,Preliminary site,394 MW preliminary,Unexploited / preliminary,,,Not located in public coordinate sources used,Not located,,,Not located separately from Kanairiktok,Unknown,Not located,The 2002 list treats Kanairuktok separately from Kanairiktok; I did not assign coordinates because I could not verify a distinct public river feature.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://www.gov.nl.ca/publicat/royalcomm/research/Churchill.pdf
KEN-01,Dam_or_site,Yes,KEN-01-SITE,Historical potential,53.4822,-59.9086,Kenamu River — Historical potential — site,Potential/actual hydro site point. Kenamu River official/river feature point used as proxy. Status: Unexploited / identified. Capacity/potential: 313 MW historical. Note: No dam-site coordinate found; river feature point used for the potential-site map layer.,Kenamu River,Historical potential,313 MW historical,Unexploited / identified,53.4822,-59.9086,Kenamu River official/river feature point used as proxy,River-point proxy,53.483333,-59.833333,"Kenamu River mouth near Lake Melville, from Rivers of Labrador DMS-style summary",River mouth to inland/coastal water,Approximate from published mouth DMS,No dam-site coordinate found; river feature point used for the potential-site map layer.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
KEN-01,Mouth_or_coast,Yes,KEN-01-MOUTH,Kenamu River mouth/coast,53.483333,-59.833333,Kenamu River — mouth/coast,"River mouth/coast/outlet point. Kenamu River mouth near Lake Melville, from Rivers of Labrador DMS-style summary. Type: River mouth to inland/coastal water. Note: No dam-site coordinate found; river feature point used for the potential-site map layer.",Kenamu River,Historical potential,313 MW historical,Unexploited / identified,53.4822,-59.9086,Kenamu River official/river feature point used as proxy,River-point proxy,53.483333,-59.833333,"Kenamu River mouth near Lake Melville, from Rivers of Labrador DMS-style summary",River mouth to inland/coastal water,Approximate from published mouth DMS,No dam-site coordinate found; river feature point used for the potential-site map layer.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
PAR-01,Dam_or_site,Yes,PAR-01-SITE,Historical / preliminary potential,53.45,-57.316667,"Paradise River, Labrador — Historical / preliminary potential — site","Potential/actual hydro site point. Paradise River Labrador river/mouth area used as proxy. Status: Unexploited / identified. Capacity/potential: 292 MW historical; 89 MW preliminary. Note: Do not confuse with the operating Paradise River Hydro station on the Burin Peninsula, Newfoundland.","Paradise River, Labrador",Historical / preliminary potential,292 MW historical; 89 MW preliminary,Unexploited / identified,53.45,-57.316667,Paradise River Labrador river/mouth area used as proxy,River-point proxy,53.45,-57.316667,Paradise River mouth / Sandwich Bay-Cartwright area,River mouth / coast,Approximate,"Do not confuse with the operating Paradise River Hydro station on the Burin Peninsula, Newfoundland.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
PAR-01,Mouth_or_coast,Yes,PAR-01-MOUTH,"Paradise River, Labrador mouth/coast",53.45,-57.316667,"Paradise River, Labrador — mouth/coast","River mouth/coast/outlet point. Paradise River mouth / Sandwich Bay-Cartwright area. Type: River mouth / coast. Note: Do not confuse with the operating Paradise River Hydro station on the Burin Peninsula, Newfoundland.","Paradise River, Labrador",Historical / preliminary potential,292 MW historical; 89 MW preliminary,Unexploited / identified,53.45,-57.316667,Paradise River Labrador river/mouth area used as proxy,River-point proxy,53.45,-57.316667,Paradise River mouth / Sandwich Bay-Cartwright area,River mouth / coast,Approximate,"Do not confuse with the operating Paradise River Hydro station on the Burin Peninsula, Newfoundland.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
RED-01,Dam_or_site,Yes,RED-01-SITE,Historical potential,53.9257,-60.994213,Red Wine River — Historical potential — site,Potential/actual hydro site point. Red Wine River official/river feature point used as proxy. Status: Unexploited / identified. Capacity/potential: 255 MW historical. Note: No exact public dam coordinate found; also corrects earlier Red Vine typo to Red Wine.,Red Wine River,Historical potential,255 MW historical,Unexploited / identified,53.9257,-60.994213,Red Wine River official/river feature point used as proxy,River-point proxy,53.9257,-60.994213,Red Wine River mouth/confluence point used as proxy,River mouth to receiving water,Official/approximate feature point,No exact public dam coordinate found; also corrects earlier Red Vine typo to Red Wine.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md
RED-01,Mouth_or_coast,Yes,RED-01-MOUTH,Red Wine River mouth/coast,53.9257,-60.994213,Red Wine River — mouth/coast,River mouth/coast/outlet point. Red Wine River mouth/confluence point used as proxy. Type: River mouth to receiving water. Note: No exact public dam coordinate found; also corrects earlier Red Vine typo to Red Wine.,Red Wine River,Historical potential,255 MW historical,Unexploited / identified,53.9257,-60.994213,Red Wine River official/river feature point used as proxy,River-point proxy,53.9257,-60.994213,Red Wine River mouth/confluence point used as proxy,River mouth to receiving water,Official/approximate feature point,No exact public dam coordinate found; also corrects earlier Red Vine typo to Red Wine.,Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md
GOO-01,Dam_or_site,Yes,GOO-01-SITE,Historical potential,53.397,-61.65,Goose River — Historical potential — site,"Potential/actual hydro site point. Approximate site near Goose Falls/Little Goose Falls reach inferred from falls distances; verify before engineering use. Status: Unexploited / identified. Capacity/potential: 246 MW historical. Note: Rivers of Labrador gives mouth coordinates and notes Goose/Little Goose Falls, but not exact dam coordinates.",Goose River,Historical potential,246 MW historical,Unexploited / identified,53.397,-61.65,Approximate site near Goose Falls/Little Goose Falls reach inferred from falls distances; verify before engineering use,Approximate/manual,53.366667,-60.366667,Goose River mouth at Goose Bay / Lake Melville,River mouth / coast-system water,Published mouth DMS,"Rivers of Labrador gives mouth coordinates and notes Goose/Little Goose Falls, but not exact dam coordinates.",Uploaded file: Labrador Rivers and Hydroelectric Potential_ Power Estimates and Current Status.md; https://waves-vagues.dfo-mpo.gc.ca/library-bibliotheque/89967.pdf
