community,population_2021,population_year,population_geography,population_source,population_source_url,population_note,airport_access_known,airport_code,airport_name,runway_length_m,runway_surface,airport_presence_source,airport_presence_source_url,runway_dimension_source,runway_dimension_source_url,runway_reference_date,airport_note,marine_access_known,marine_context_source,marine_context_source_url,dock_length_m,max_draft_m,heavy_lift_status,marine_size_status,marine_note
Kuujjuaraapik,792,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,Statistics Canada count carries a caution/amendment flag in the 2021 profile.,true,YGW,Kuujjuarapik Airport,1549,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,"Quebec page gives 1,549 m; the feet value displayed on that page appears inconsistent, so only the metric value is stored.",true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Makkovik,365,2021,Town (T),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YMN,Makkovik Airport,790,gravel,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/airportservices/,NAV CANADA Canada Flight Supplement (static reference),https://www.navcanada.ca/en/ecfs_07_en.pdf,2020-12-31,Runway dimension is a static CFS reference (2592 ft); verify current aeronautical data before operational use.,true,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/ferryservices/schedules/h-goosebay-nain/,,,not_verified,runtime_basemap_or_unknown,Ferry/port-of-call context confirmed; berth/dock dimensions not verified.
Nain,847,2021,Town (T),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YDP,Nain Airport,605,gravel,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/airportservices/,NAV CANADA Canada Flight Supplement (static reference),https://www.navcanada.ca/en/ecfs_07_en.pdf,2020-12-31,Existing-airstrip dimension is a static CFS reference (1986 ft). A new Nain airport project has been under assessment; verify current facility before use.,true,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/ferryservices/schedules/h-goosebay-nain/,,,not_verified,runtime_basemap_or_unknown,Ferry/port-of-call context confirmed; berth/dock dimensions not verified.
Postville,188,2021,Town (T),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YSO,Postville Airport,785,gravel,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/airportservices/,NAV CANADA Canada Flight Supplement (static reference),https://www.navcanada.ca/en/ecfs_07_en.pdf,2020-12-31,Runway dimension is a static CFS reference (2576 ft); verify current aeronautical data before operational use.,true,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/ferryservices/schedules/h-goosebay-nain/,,,not_verified,runtime_basemap_or_unknown,Ferry/port-of-call context confirmed; berth/dock dimensions not verified.
Puvirnituq,2129,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YPX,Puvirnituq Airport,1920,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Quaqtaq,453,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YHA,Quaqtaq Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Rigolet,327,2021,Town (T),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YRG,Rigolet Airport,761,gravel,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/airportservices/,NAV CANADA Canada Flight Supplement (static reference),https://www.navcanada.ca/en/ecfs_07_en.pdf,2020-12-31,Runway dimension is a static CFS reference (~2496–2500 ft); verify current aeronautical data before operational use.,true,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ti/ferryservices/schedules/h-goosebay-nain/,,,not_verified,runtime_basemap_or_unknown,Ferry/port-of-call context confirmed; berth/dock dimensions not verified.
Salluit,1580,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YZG,Salluit Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Tasiujaq,420,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YTQ,Tasiujaq Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
Umiujaq,541,2021,Village nordique (VN),Statistics Canada — 2021 Census population and dwelling counts,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202,,true,YMU,Umiujaq Airport,1073,gravel,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,Gouvernement du Québec,https://www.quebec.ca/transports/infrastructures-projets/infrastructures/infrastructures-aeroportuaires,current web reference,,true,Kativik Regional Government,https://www.krg.ca/en-CA/assets/Council/2026/feb/Transportation_Activity_Report.pdf,,,not_verified,runtime_basemap_or_unknown,
