entry_id,feature_id,name,river,capacity_or_potential,current_status,geometry_confidence,geometry_class,latitude,longitude,nearest_active_community,distance_to_active_community_km,distance_to_mouth_or_coast_proxy_km,scope_class,reason_codes
KAI-01,KAI-01-SITE,Historical / preliminary potential,Caiairiktok / Kanairiktok River,817 MW historical; 153 MW preliminary,Unexploited / identified,Gauge/site proxy,gauge_proxy,54.623611,-60.977222,Postville,82.85,62.14,excluded,too_far_from_active_community;too_far_inland_from_coast_proxy
KEN-01,KEN-01-SITE,Historical potential,Kenamu River,313 MW historical,Unexploited / identified,River-point proxy,river_proxy,53.4822,-59.9086,Rigolet,124.27,4.98,excluded,too_far_from_active_community
PAR-01,PAR-01-SITE,Historical / preliminary potential,"Paradise River, Labrador",292 MW historical; 89 MW preliminary,Unexploited / identified,River-point proxy,river_proxy,53.45,-57.316667,Rigolet,109.15,0.0,excluded,too_far_from_active_community
RED-01,RED-01-SITE,Historical potential,Red Wine River,255 MW historical,Unexploited / identified,River-point proxy,river_proxy,53.9257,-60.994213,Postville,134.58,0.0,excluded,too_far_from_active_community
GOO-01,GOO-01-SITE,Historical potential,Goose River,246 MW historical,Unexploited / identified,Approximate/manual,approximate_reference,53.397,-61.65,Postville,207.52,85.18,excluded,too_far_from_active_community;too_far_inland_from_coast_proxy
FIG-01,FIG-01-SITE,Historical / preliminary potential,Fig River,233 MW historical; 204 MW preliminary,Unexploited / identified,River-point proxy,river_proxy,53.198645,-63.198577,Postville,292.99,0.0,excluded,too_far_from_active_community
BIG-01,BIG-01-SITE,Historical / preliminary potential,Big River,230 MW historical; 109 MW preliminary,Unexploited / identified,Approximate/manual,approximate_reference,54.8,-58.96,Makkovik,34.77,4.35,core,
MIN-01,MIN-01-SITE,Historical / preliminary potential,Minipi River,216 MW historical; 647 MW preliminary,Unexploited / identified,Gauge/site proxy,gauge_proxy,52.615833,-61.181667,Rigolet,252.06,40.02,excluded,too_far_from_active_community;too_far_inland_from_coast_proxy
STL-01,STL-01-SITE,Historical / preliminary potential,St. Lewis River,200 MW historical; 68 MW preliminary,Unexploited / identified,Approximate/manual,approximate_reference,52.365278,-56.555556,Rigolet,237.09,23.8,excluded,too_far_from_active_community
STL-02,STL-02-SITE,Coastal Labrador Site 8C,St. Lewis River,up to 3 MW modelled small-hydro,Small-hydro candidate,Gauge/site proxy / approximate,gauge_proxy,52.365278,-56.555556,Rigolet,237.09,23.8,excluded,too_far_from_active_community
MET-01,MET-01-SITE,Historical potential,Metchin River,180 MW historical,Unexploited / identified,Gauge/site proxy,gauge_proxy,53.423333,-63.233333,Postville,278.75,15.35,excluded,too_far_from_active_community
NOR-01,NOR-01-SITE,Historical potential,North River,160 MW historical,Unexploited / identified,Approximate/manual,approximate_reference,53.875,-57.275,Rigolet,82.63,13.19,excluded,too_far_from_active_community
CRO-01,CRO-01-SITE,Historical potential,Crooked River,153 MW historical,Unexploited / identified,River-point proxy,river_proxy,53.8,-60.833333,Postville,140.93,0.0,excluded,too_far_from_active_community
ALE-01,ALE-01-SITE,Historical / preliminary potential,Alexis River,143 MW historical; 98 MW preliminary,Unexploited / identified,Gauge/site proxy,gauge_proxy,52.648611,-56.871111,Rigolet,199.1,51.02,excluded,too_far_from_active_community;too_far_inland_from_coast_proxy
BEA-01,BEA-01-SITE,Historical potential,Beaver River,126 MW historical,Unexploited / identified,River-point proxy,river_proxy,53.733333,-60.95,Postville,151.13,0.0,excluded,too_far_from_active_community
PIN-01,PIN-01-SITE,Historical / preliminary potential,Pinware River,120 MW historical; 77 MW preliminary,Unexploited / identified,River-point proxy,river_proxy,51.635556,-56.6875,Rigolet,306.03,0.0,excluded,too_far_from_active_community
HAW-01,HAW-01-SITE,Historical potential,Hawke River / Hawke Brook,45 MW historical,Unexploited / identified,River-point proxy,river_proxy,53.033333,-56.066667,Rigolet,201.32,0.0,excluded,too_far_from_active_community
LOB-01,LOB-01-SITE,Preliminary site,Lobstick / Smallwood Reservoir area,160 MW preliminary,Unexploited / preliminary,Approximate/manual,approximate_reference,54.0,-64.992831,Hopedale,346.88,,excluded,no_coast_mouth_proxy
KOG-01,KOG-01-SITE,Preliminary site,Kogaluk River,58 MW preliminary,Unexploited / preliminary,Gauge/site proxy,gauge_proxy,56.15,-62.7325,Nain,77.55,62.69,excluded,too_far_from_active_community;too_far_inland_from_coast_proxy
MIS-01,MIS-01-SITE,Preliminary site,Mistastin River / Mistastin system,81 MW preliminary,Unexploited / preliminary,Gauge/site proxy,gauge_proxy,55.944139,-63.098822,Nain,109.46,32.38,excluded,too_far_from_active_community;too_far_inland_from_coast_proxy
NOT-L,NOT-L-SITE,Lower site,Notakwanon River,84 MW preliminary,Unexploited / preliminary,River-point proxy,river_proxy,56.023746,-61.511167,Nain,58.79,0.0,extended_review,outside_core_community_distance
NOT-U,NOT-U-SITE,Upper site,Notakwanon River,94 MW preliminary,Unexploited / preliminary,Approximate/manual,approximate_reference,56.08,-61.85,Nain,52.37,21.95,extended_review,outside_core_community_distance
UGJ-L,UGJ-L-SITE,Lower site,Ugjoktok River / Adlatok River,94 MW preliminary,Unexploited / preliminary,Approximate/manual,approximate_reference,55.176,-60.62,Hopedale,40.3,3.71,core,
UGJ-U,UGJ-U-SITE,Upper site,Ugjoktok River / Adlatok River,43 MW preliminary,Unexploited / preliminary,Gauge/site proxy,gauge_proxy,55.233889,-61.301667,Hopedale,73.14,46.54,excluded,too_far_inland_from_coast_proxy
KIN-01,KIN-01-SITE,Preliminary site,Kingurutik River,31 MW preliminary,Unexploited / preliminary,River-point proxy,river_proxy,56.815278,-62.554722,Nain,60.76,0.0,extended_review,outside_core_community_distance
HAR-01,HAR-01-SITE,Harp Lake,Harp Lake / Ugjoktok system,51 MW preliminary,Unexploited / preliminary,Gauge/site proxy,gauge_proxy,55.233889,-61.301667,Hopedale,73.14,46.54,excluded,too_far_inland_from_coast_proxy
GIL-01,GIL-01-SITE,Coastal Labrador Site 5B,Gilbert River,2.3 MW modelled small-hydro,Small-hydro candidate,Gauge/site proxy,gauge_proxy,52.7159,-56.3174,Rigolet,214.56,16.35,excluded,too_far_from_active_community
STM-01,STM-01-SITE,Mary’s Harbour small hydro,St. Mary’s River,~0.15–0.24 MW depending source/phase,Small hydro; current status needs confirmation,Approximate/manual,approximate_reference,52.3167,-55.8667,Rigolet,268.24,2.93,excluded,existing_committed_or_non_target_status
STP-01,STP-01-SITE,Interprovincial identified potential,St. Paul River,149–250 MW potential range,Interprovincial / identified,River-point proxy,river_proxy,51.469444,-57.701389,Rigolet,305.3,0.0,excluded,existing_committed_or_non_target_status
STA-01,STA-01-SITE,Interprovincial identified potential,St. Augustine River,127–250 MW potential range,Interprovincial / identified,River-point proxy,river_proxy,52.0,-59.3786,Rigolet,250.53,99.55,excluded,existing_committed_or_non_target_status
LME-01,LME-01-SITE,Interprovincial identified potential,Little Mecatina River,"186–1,040 MW potential range",Interprovincial / identified,Gauge/site proxy,gauge_proxy,52.229722,-61.316944,Rigolet,289.8,74.18,excluded,existing_committed_or_non_target_status
NAT-01,NAT-01-SITE,Interprovincial identified potential,Natashquan River,56–563 MW potential range,Interprovincial / identified,River-point proxy,river_proxy,50.118611,-61.807222,Rigolet,506.86,0.0,excluded,existing_committed_or_non_target_status
ROM-01,ROM-01-SITE,Interprovincial identified potential,Romaine River,"1,330 MW potential",Interprovincial / identified; Québec-side context,Gauge/site proxy,gauge_proxy,52.096111,-63.706111,Postville,406.3,199.59,excluded,existing_committed_or_non_target_status
